status,rank,division,scientificname,commonname,uid,genus,species,subsp,modificationdate
active,species,mosquitos,Aedes aegypti,yellow fever mosquito,7159,Aedes,aegypti,,2018/10/29 00:00
active,species,mosquitos,Aedes albopictus,Asian tiger mosquito,7160,Aedes,albopictus,,2018/11/26 00:00
active,species,mosquitos,Ochlerotatus annulipes,,866103,Ochlerotatus,annulipes,,2018/10/29 00:00
active,species,mosquitos,Aedes atropalpus,rock-pool mosquito,28624,Aedes,atropalpus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus berlandi,,2579877,Ochlerotatus,berlandi,,2020/01/24 00:00
active,species,mosquitos,Ochlerotatus cantans,,120869,Ochlerotatus,cantans,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus caspius,,120870,Ochlerotatus,caspius,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus cataphylla,,120871,Ochlerotatus,cataphylla,,2018/10/29 00:00
active,species,mosquitos,Aedes cinereus,,120872,Aedes,cinereus,,2005/01/19 00:00
active,species,mosquitos,Ochlerotatus communis,,329099,Ochlerotatus,communis,,2018/10/29 00:00
active,species,mosquitos,Aedes cretinus,,240003,Aedes,cretinus,,2018/11/26 00:00
active,species,mosquitos,Ochlerotatus cyprius,,662895,Ochlerotatus,cyprius,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus detritus,,120873,Ochlerotatus,detritus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus diantaeus,,1129559,Ochlerotatus,diantaeus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus dorsalis,,663928,Ochlerotatus,dorsalis,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus eatoni,,1712862,Ochlerotatus,eatoni,,2018/10/29 00:00
active,species,mosquitos,Aedes echinus,,2575619,Aedes,echinus,,2019/05/17 00:00
active,species,mosquitos,Ochlerotatus euedes,,743690,Ochlerotatus,euedes,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus excrucians,,329103,Ochlerotatus,excrucians,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus flavescens,,662894,Ochlerotatus,flavescens,,2018/10/29 00:00
active,species,mosquitos,Aedes geminus,,401424,Aedes,geminus,,2018/10/29 00:00
active,species,mosquitos,Aedes geniculatus,,120874,Aedes,geniculatus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus hexodontus,,767797,Ochlerotatus,hexodontus,,2018/11/23 00:00
active,species,mosquitos,Ochlerotatus hungaricus,,1810856,Ochlerotatus,hungaricus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus intrudens,,228921,Ochlerotatus,intrudens,,2018/10/29 00:00
active,species,mosquitos,Aedes japonicus,,140438,Aedes,japonicus,,2018/10/29 00:00
active,species,mosquitos,Aedes koreicus,,586676,Aedes,koreicus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus leucomelas,,1788511,Ochlerotatus,leucomelas,,2018/10/29 00:00
active,species,mosquitos,Acartomyia mariae,,120875,Acartomyia,mariae,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus nigrinus,,1788512,Ochlerotatus,nigrinus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus nigripes,,508662,Ochlerotatus,nigripes,,2018/10/29 00:00
active,species,mosquitos,Acartomyia phoeniciae,,1548036,Acartomyia,phoeniciae,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus pionips,,1315219,Ochlerotatus,pionips,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus pulcritarsis,,1529939,Ochlerotatus,pulcritarsis,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus pullatus,,120876,Ochlerotatus,pullatus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus punctor,,46209,Ochlerotatus,punctor,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus refiki,,1788513,Ochlerotatus,refiki,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus riparius,,743694,Ochlerotatus,riparius,,2018/10/29 00:00
active,species,mosquitos,Aedes rossicus,,761982,Aedes,rossicus,,2013/06/19 00:00
active,species,mosquitos,Ochlerotatus rusticus,,120877,Ochlerotatus,rusticus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus sticticus,,120878,Ochlerotatus,sticticus,,2018/10/29 00:00
active,species,mosquitos,Aedes vexans,,7163,Aedes,vexans,,2018/10/29 00:00
active,species,mosquitos,Aedes vittatus,,317808,Aedes,vittatus,,2018/10/29 00:00
active,species,mosquitos,Acartomyia zammitii,,1548034,Acartomyia,zammitii,,2018/10/29 00:00
active,species,mosquitos,Anopheles ainshamsi,,622773,Anopheles,ainshamsi,,2009/05/10 00:00
active,species,mosquitos,Anopheles algeriensis,,1411912,Anopheles,algeriensis,,2014/04/23 00:00
active,species,mosquitos,Anopheles apoci,,262008,Anopheles,apoci,,2005/01/19 00:00
active,species,mosquitos,Anopheles arabiensis,,7173,Anopheles,arabiensis,,2015/07/31 00:00
active,species,mosquitos,Anopheles atroparvus,,41427,Anopheles,atroparvus,,2018/11/23 00:00
active,species,mosquitos,Anopheles cinereus,,1632206,Anopheles,cinereus,,2017/01/02 00:00
active,species,mosquitos,Anopheles claviger,,120868,Anopheles,claviger,,2005/01/19 00:00
active,species,mosquitos,Anopheles coluzzii,,1518534,Anopheles,coluzzii,,2016/10/28 00:00
active,species,mosquitos,Anopheles coustani,,139045,Anopheles,coustani,,2016/08/18 00:00
active,species,mosquitos,Anopheles culicifacies,,139723,Anopheles,culicifacies,,2016/08/18 00:00
active,species,mosquitos,Anopheles daciae,,281737,Anopheles,daciae,,2016/08/18 00:00
active,species,mosquitos,Anopheles dthali,,262009,Anopheles,dthali,,2005/01/19 00:00
active,species,mosquitos,Anopheles fluviatilis,,111615,Anopheles,fluviatilis,,2005/01/19 00:00
active,species,mosquitos,Anopheles hyrcanus,,138534,Anopheles,hyrcanus,,2005/01/19 00:00
active,species,mosquitos,Anopheles labranchiae,,41428,Anopheles,labranchiae,,2005/01/19 00:00
active,species,mosquitos,Anopheles maculipennis,,41429,Anopheles,maculipennis,,2005/01/19 00:00
active,species,mosquitos,Anopheles maculipennis,,41429,Anopheles,maculipennis,,2005/01/19 00:00
active,species,mosquitos,Anopheles melanoon,,73143,Anopheles,melanoon,,2005/01/19 00:00
active,species,mosquitos,Anopheles messeae,,41430,Anopheles,messeae,,2018/11/23 00:00
active,species,mosquitos,Anopheles multicolor,,273151,Anopheles,multicolor,,2005/01/19 00:00
active,species,mosquitos,Anopheles persiensis,,208662,Anopheles,persiensis,,2005/01/19 00:00
active,species,mosquitos,Anopheles petragnani,,205392,Anopheles,petragnani,,2003/07/08 00:00
active,species,mosquitos,Anopheles pharoensis,,221566,Anopheles,pharoensis,,2005/01/19 00:00
active,species,mosquitos,Anopheles plumbeus,,227531,Anopheles,plumbeus,,2005/01/19 00:00
active,species,mosquitos,Anopheles pulcherrimus,,159154,Anopheles,pulcherrimus,,2018/11/23 00:00
active,species,mosquitos,Anopheles sacharovi,,72408,Anopheles,sacharovi,,2005/01/19 00:00
active,species,mosquitos,Anopheles stephensi,Asian malaria mosquito,30069,Anopheles,stephensi,,2018/11/23 00:00
active,species,mosquitos,Anopheles superpictus,,262673,Anopheles,superpictus,,2018/10/29 00:00
active,species,mosquitos,Anopheles tenebrosus,,345579,Anopheles,tenebrosus,,2018/10/31 00:00
active,species,mosquitos,Anopheles turkhudi,,262672,Anopheles,turkhudi,,2005/01/19 00:00
active,species,mosquitos,Anopheles ziemanni,,345580,Anopheles,ziemanni,,2018/10/31 00:00
active,species,mosquitos,Coquillettidia buxtoni,,2547966,Coquillettidia,buxtoni,,2019/03/21 00:00
active,species,mosquitos,Coquillettidia richiardii,,1245328,Coquillettidia,richiardii,,2018/11/23 00:00
active,species,mosquitos,Culex antennatus,,911293,Culex,antennatus,,2018/10/29 00:00
active,species,mosquitos,Culex deserticola,,1795353,Culex,deserticola,,2018/10/29 00:00
active,species,mosquitos,Culex duttoni,,1799675,Culex,duttoni,,2018/10/29 00:00
active,species,mosquitos,Culex europaeus,,1464558,Culex,europaeus,,2014/12/21 00:00
active,species,mosquitos,Culex hortensis,,1464559,Culex,hortensis,,2014/03/23 00:00
active,species,mosquitos,Culex impudicus,,1464560,Culex,impudicus,,2014/12/14 00:00
active,species,mosquitos,Culex laticinctus,,1464561,Culex,laticinctus,,2014/12/21 00:00
active,species,mosquitos,Culex martinii,,2306907,Culex,martinii,,2018/10/29 00:00
active,species,mosquitos,Culex mimeticus,,421623,Culex,mimeticus,,2016/08/18 00:00
active,species,mosquitos,Culex modestus,,545656,Culex,modestus,,2008/07/12 00:00
active,species,mosquitos,Culex perexiguus,,943103,Culex,perexiguus,,2014/06/13 00:00
active,species,mosquitos,Culex pipiens,northern house mosquito,7175,Culex,pipiens,,2017/06/14 00:00
active,species,mosquitos,Culex poicilipes,,450823,Culex,poicilipes,,2018/10/29 00:00
active,species,mosquitos,Culex pseudovishnui,,100677,Culex,pseudovishnui,,2016/08/18 00:00
active,species,mosquitos,Culex quinquefasciatus,southern house mosquito,7176,Culex,quinquefasciatus,,2018/11/23 00:00
active,species,mosquitos,Culex simpsoni,,1799676,Culex,simpsoni,,2018/10/29 00:00
active,species,mosquitos,Culex sinaiticus,,1799677,Culex,sinaiticus,,2018/10/29 00:00
active,species,mosquitos,Culex sitiens,,162998,Culex,sitiens,,2005/01/19 00:00
active,species,mosquitos,Culex territans,,42431,Culex,territans,,2005/01/19 00:00
active,species,mosquitos,Culex thalassius,,1799681,Culex,thalassius,,2018/10/29 00:00
active,species,mosquitos,Culex theileri,,561267,Culex,theileri,,2008/12/30 00:00
active,species,mosquitos,Culex torrentium,,42433,Culex,torrentium,,2018/10/29 00:00
active,species,mosquitos,Culex tritaeniorhynchus,,7178,Culex,tritaeniorhynchus,,2005/01/19 00:00
active,species,mosquitos,Culex univittatus,,420550,Culex,univittatus,,2018/11/23 00:00
active,species,mosquitos,Culex vagans,,1144254,Culex,vagans,,2012/03/29 00:00
active,species,mosquitos,Culiseta alaskaensis,,1788509,Culiseta,alaskaensis,,2016/04/03 00:00
active,species,mosquitos,Culiseta annulata,,332058,Culiseta,annulata,,2005/06/11 00:00
active,species,mosquitos,Culiseta bergrothi,,866104,Culiseta,bergrothi,,2016/08/19 00:00
active,species,mosquitos,Culiseta fumipennis,,1538645,Culiseta,fumipennis,,2014/09/01 00:00
active,species,mosquitos,Culiseta glaphyroptera,,2025599,Culiseta,glaphyroptera,,2017/08/17 00:00
active,species,mosquitos,Culiseta litorea,,2579876,Culiseta,litorea,,2020/01/24 00:00
active,species,mosquitos,Culiseta longiareolata,,1206072,Culiseta,longiareolata,,2012/07/10 00:00
active,species,mosquitos,Culiseta morsitans,,329107,Culiseta,morsitans,,2006/03/31 00:00
active,species,mosquitos,Culiseta ochroptera,,866105,Culiseta,ochroptera,,2010/07/31 00:00
active,species,mosquitos,Culiseta subochrea,,1788510,Culiseta,subochrea,,2016/04/03 00:00
active,species,mosquitos,Orthopodomyia pulcripalpis,,665338,Orthopodomyia,pulcripalpis,,2009/08/17 00:00
active,species,mosquitos,Uranotaenia balfouri,,1551375,Uranotaenia,balfouri,,2014/10/08 00:00
active,species,mosquitos,Uranotaenia unguiculata,,559294,Uranotaenia,unguiculata,,2013/09/04 00:00
